HardSquare529_ORCI_5,2,2,,HardRectangle529_ORCI_5,2,4,,HardRectangle529_ORCI_AGVC_5,2,3,,HardRectangle529_ORCI2D_5,2,2
HardSquare529_ORCI_6,2,2,,HardRectangle529_ORCI_6,2,4,,HardRectangle529_ORCI_AGVC_6,2,2,,HardRectangle529_ORCI2D_6,2,2
HardSquare529_ORCI_7,2,2,,HardRectangle529_ORCI_7,2,4,,HardRectangle529_ORCI_AGVC_7,2,3,,HardRectangle529_ORCI2D_7,2,2
HardSquare529_ORCI_8,2,2,,HardRectangle529_ORCI_8,2,4,,HardRectangle529_ORCI_AGVC_8,2,3,,HardRectangle529_ORCI2D_8,2,2
HardSquare529_ORCI_9,2,2,,HardRectangle529_ORCI_9,2,4,,HardRectangle529_ORCI_AGVC_9,2,2,,HardRectangle529_ORCI2D_9,2,2
,,,,,,,,,,,,,,
HardSquare1024_ORCI_0,2,2,,HardRectangle1024_ORCI_0,2,4,,HardRectangle1024_ORCI_AGVC_0,2,3,,HardRectangle1024_ORCI2D_0,2,2
HardSquare1024_ORCI_1,2,2,,HardRectangle1024_ORCI_1,2,4,,HardRectangle1024_ORCI_AGVC_1,2,3,,HardRectangle1024_ORCI2D_1,2,2
HardSquare1024_ORCI_2,2,2,,HardRectangle1024_ORCI_2,2,4,,HardRectangle1024_ORCI_AGVC_2,2,3,,HardRectangle1024_ORCI2D_2,2,2
HardSquare1024_ORCI_3,2,2,,HardRectangle1024_ORCI_3,2,4,,HardRectangle1024_ORCI_AGVC_3,2,3,,HardRectangle1024_ORCI2D_3,2,2
HardSquare1024_ORCI_4,2,2,,HardRectangle1024_ORCI_4,2,4,,HardRectangle1024_ORCI_AGVC_4,2,3,,HardRectangle1024_ORCI2D_4,2,2
HardSquare1024_ORCI_5,2,2,,HardRectangle1024_ORCI_5,2,4,,HardRectangle1024_ORCI_AGVC_5,2,3,,HardRectangle1024_ORCI2D_5,2,2
HardSquare1024_ORCI_6,2,2,,HardRectangle1024_ORCI_6,2,4,,HardRectangle1024_ORCI_AGVC_6,2,3,,HardRectangle1024_ORCI2D_6,2,2
HardSquare1024_ORCI_7,2,2,,HardRectangle1024_ORCI_7,2,4,,HardRectangle1024_ORCI_AGVC_7,2,3,,HardRectangle1024_ORCI2D_7,2,2
HardSquare1024_ORCI_8,2,2,,HardRectangle1024_ORCI_8,2,4,,HardRectangle1024_ORCI_AGVC_8,2,2,,HardRectangle1024_ORCI2D_8,2,2
HardSquare1024_ORCI_9,2,2,,HardRectangle1024_ORCI_9,2,4,,HardRectangle1024_ORCI_AGVC_9,2,3,,HardRectangle1024_ORCI2D_9,2,2
,,,,,,,,,,,,,,
HardSquare2025_ORCI_0,2,2,,HardRectangle2025_ORCI_0,2,4,,HardRectangle2025_ORCI_AGVC_0,2,3,,HardRectangle2025_ORCI2D_0,2,2
HardSquare2025_ORCI_1,3,2,,HardRectangle2025_ORCI_1,2,4,,HardRectangle2025_ORCI_AGVC_1,2,3,,HardRectangle2025_ORCI2D_1,2,2
HardSquare2025_ORCI_2,2,2,,HardRectangle2025_ORCI_2,2,4,,HardRectangle2025_ORCI_AGVC_2,2,3,,HardRectangle2025_ORCI2D_2,2,2
HardSquare2025_ORCI_3,2,2,,HardRectangle2025_ORCI_3,2,4,,HardRectangle2025_ORCI_AGVC_4,2,3,,HardRectangle2025_ORCI2D_3,2,2
HardSquare2025_ORCI_4,2,2,,HardRectangle2025_ORCI_4,2,4,,,,,,HardRectangle2025_ORCI2D_4,2,2
HardSquare2025_ORCI_5,3,2,,HardRectangle2025_ORCI_5,2,4,,HardRectangle2025_ORCI_AGVC_5,2,3,,HardRectangle2025_ORCI2D_5,2,2
HardSquare2025_ORCI_6,2,2,,HardRectangle2025_ORCI_6,2,4,,HardRectangle2025_ORCI_AGVC_6,2,3,,HardRectangle2025_ORCI2D_6,2,2
HardSquare2025_ORCI_7,2,2,,HardRectangle2025_ORCI_7,2,4,,HardRectangle2025_ORCI_AGVC_7,2,3,,HardRectangle2025_ORCI2D_7,2,2
HardSquare2025_ORCI_8,2,2,,HardRectangle2025_ORCI_8,2,4,,,,,,HardRectangle2025_ORCI2D_8,2,2
HardSquare2025_ORCI_9,2,2,,HardRectangle2025_ORCI_9,2,4,,,,,,HardRectangle2025_ORCI2D_9,3,2
,,,,,,,,,,,,,,
HardSquare4096_ORCI_0,2,2,,HardRectangle4096_ORCI_0,3,4,,HardRectangle4096_ORCI_AGVC_0,3,3,,HardRectangle4096_ORCI2D_0,3,3
HardSquare4096_ORCI_1,3,3,,HardRectangle4096_ORCI_1,3,4,,HardRectangle4096_ORCI_AGVC_1,3,3,,HardRectangle4096_ORCI2D_1,3,2
HardSquare4096_ORCI_2,3,2,,HardRectangle4096_ORCI_2,2,4,,HardRectangle4096_ORCI_AGVC_2,2,3,,HardRectangle4096_ORCI2D_2,2,3
HardSquare4096_ORCI_3,2,2,,HardRectangle4096_ORCI_3,2,4,,,,,,HardRectangle4096_ORCI2D_3,2,3
HardSquare4096_ORCI_4,3,2,,HardRectangle4096_ORCI_4,2,4,,,,,,HardRectangle4096_ORCI2D_4,2,2
HardSquare4096_ORCI_5,2,3,,HardRectangle4096_ORCI_5,3,4,,,,,,HardRectangle4096_ORCI2D_5,3,2
HardSquare4096_ORCI_6,3,3,,HardRectangle4096_ORCI_6,3,4,,HardRectangle4096_ORCI_AGVC_6,3,3,,HardRectangle4096_ORCI2D_6,3,3
HardSquare4096_ORCI_7,3,3,,HardRectangle4096_ORCI_7,3,4,,HardRectangle4096_ORCI_AGVC_7,3,3,,HardRectangle4096_ORCI2D_7,3,3
HardSquare4096_ORCI_8,3,2,,HardRectangle4096_ORCI_8,3,4,,HardRectangle4096_ORCI_AGVC_8,3,3,,HardRectangle4096_ORCI2D_8,3,3
HardSquare4096_ORCI_9,3,2,,HardRectangle4096_ORCI_9,2,4,,HardRectangle4096_ORCI_AGVC_9,2,3,,HardRectangle4096_ORCI2D_9,2,2
